name,rows,mask_ap,mask_ap50,tail20,seconds,path,csv_sha256
F21_yolo11-seg-liam_300ep,300,66.247,81.866,65.39789999999999,19.68000000000029,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F21_yolo11-seg-liam_300ep\results.csv,fe33de1705187bfba5c2e9b4de6328692cef1d5d9328b20836c54be1ad172092
F22_yolo11-seg-csfg_300ep,265,66.16300000000001,82.855,65.48725,11.190000000000055,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F22_yolo11-seg-csfg_300ep\results.csv,00811062aec4aab312218efdbd65a78b44949a667c41e566e90901e7e412a56b
F23_yolo11-seg-hvi-dfem_300ep,300,62.013,79.116,61.462950000000006,24.960000000000036,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F23_yolo11-seg-hvi-dfem_300ep\results.csv,4a39584453f5a50e3d362126fb684d17e81e11bbd7db87a078cdb884ef4e2488
F25_yolo11-seg-spd-ema_300ep,300,64.87899999999999,81.40899999999999,64.20559999999999,20.241999999999962,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F25_yolo11-seg-spd-ema_300ep\results.csv,81657cf5b7ebd23936e1ca2a5c182a65d9d9b951f3f30fd7ce8466f806974bf9
F26_yolo11-seg-dfem-liam_300ep,300,65.874,82.443,65.1813,14.129999999999654,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F26_yolo11-seg-dfem-liam_300ep\results.csv,7f8119599143e02354964b9a8cd2eee139b3b6ab3c9a7cfcead642cf46da65a9
F28_yolo11-seg-dfem-spd_300ep,300,64.739,81.318,64.22345,14.514999999999986,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F28_yolo11-seg-dfem-spd_300ep\results.csv,31c0a681ab4712b9b87c2647ec877333117f5ccd8d0995668cbc69e785024c25
F36_yolo11-seg-ours-no-dysample_300ep,300,64.347,80.862,63.98199999999999,14.709999999999809,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F36_yolo11-seg-ours-no-dysample_300ep\results.csv,a01d0d98f546693486a168a81e5f19b73f3bb1eee616088c76de67921306246c
F40_yolo11-seg-hrstream_300ep,300,66.154,82.743,65.63655,14.300000000000182,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F40_yolo11-seg-hrstream_300ep\results.csv,ef4844c3b2505aedc68649290bf3cdc652da34bab59c9894dc86b2b7f43d077d
F41_yolo11-seg-freqdetail-pan_300ep,300,65.95100000000001,82.411,65.19135,14.499000000000024,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F41_yolo11-seg-freqdetail-pan_300ep\results.csv,8b646f37cce2fa33fea5446b6be9bbcc496c046e4cda998945b5a1045b5ce0b7
F43_yolo11-seg-citrusfar-v2_300ep,300,65.82000000000001,82.809,65.30454999999999,15.159999999999854,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F43_yolo11-seg-citrusfar-v2_300ep\results.csv,6c41704145da96c86ef9f7e95a4458061e94d6a110b6134e10af19536985e444
F44_yolo11-seg-citrusfar-edge_300ep,300,64.515,81.68900000000001,63.81985,13.960000000000036,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F44_yolo11-seg-citrusfar-edge_300ep\results.csv,554913edd97bc2df185e8bbe7fc0379703575c1928cac461fcffec4fa407c413
F45_yolo11-seg-citrusfar-edge-nano_300ep,300,63.800000000000004,81.136,63.253899999999994,13.7800000000002,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F45_yolo11-seg-citrusfar-edge-nano_300ep\results.csv,3b329094bff686da418db4bcb7cb532ffc9f5a725bbb825d7230ba80dc9196d7
F46_yolo11-seg-farformer_300ep,300,67.23,82.669,66.5315,14.33999999999969,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F46_yolo11-seg-farformer_300ep\results.csv,b920693b8a4144f185dc30c555f0189ddd896cbf44767e3381a937dff6bf93c1
F47_yolo11-seg-lumiformer_300ep,300,65.51599999999999,82.30199999999999,64.9434,14.190000000000055,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F47_yolo11-seg-lumiformer_300ep\results.csv,0ab1b954f8da7e2f2bb8dc79e52ccebf15c24615c6020e46307f7093d9afd34f
F48_yolo11-seg-citrusformer-net_300ep,300,65.605,82.611,65.16855,16.579999999999927,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F48_yolo11-seg-citrusformer-net_300ep\results.csv,302b5384d97ba1d615303d2116c725e34fe99f2b7396265da5cc20d286d239ad
F49_yolo11-seg-tdam_300ep,300,65.103,81.796,64.69435,21.140000000000327,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F49_yolo11-seg-tdam_300ep\results.csv,b2f1b0d4099de7806a05c5a0faf80affc77e6c14573da72f23d95c6d3b304a82
F51_yolo11-seg-lce-tdam_300ep,300,64.087,81.809,63.3724,24.169999999999618,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F51_yolo11-seg-lce-tdam_300ep\results.csv,67a5a6fb5e629d433ed9fdf0458591f70c0dc43bfe7f18d8fdc20ad4b08208bd
F52_yolo11-seg-citrusfar-edge-v2_300ep,300,64.324,82.137,64.0686,18.299999999999727,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F52_yolo11-seg-citrusfar-edge-v2_300ep\results.csv,029a64ecbaba4a4bba7d6a9d8d49f65200ac7a64dbcb945c6c2eaf98645dc6ae
