"mismatch_order","split","order","gt_count","pred_count","extra_predictions","missing_predictions","abs_count_diff","image","output"
"146","train","240","0","1","1","0","1","E:\mastercode\data\test\images\train\IMG_20260706_103616.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103616_train_gt00_pred01_diff01_extra+01.jpg"
"147","train","243","6","2","-4","4","4","E:\mastercode\data\test\images\train\IMG_20260706_103621.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103621_train_gt06_pred02_diff04_extra-04.jpg"
"148","val","97","14","11","-3","3","3","E:\mastercode\data\test\images\val\IMG_20260706_103702.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103702_val_gt14_pred11_diff03_extra-03.jpg"
"149","val","98","10","14","4","0","4","E:\mastercode\data\test\images\val\IMG_20260706_103705.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103705_val_gt10_pred14_diff04_extra+04.jpg"
"150","val","99","9","6","-3","3","3","E:\mastercode\data\test\images\val\IMG_20260706_103708.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103708_val_gt09_pred06_diff03_extra-03.jpg"
"151","val","100","10","6","-4","4","4","E:\mastercode\data\test\images\val\IMG_20260706_103710.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103710_val_gt10_pred06_diff04_extra-04.jpg"
"152","val","101","8","9","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103721.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103721_val_gt08_pred09_diff01_extra+01.jpg"
"153","val","102","5","6","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103722.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103722_val_gt05_pred06_diff01_extra+01.jpg"
"154","val","103","3","4","1","0","1","E:\mastercode\data\test\images\val\IMG_20260706_103724.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103724_val_gt03_pred04_diff01_extra+01.jpg"
"155","val","104","8","11","3","0","3","E:\mastercode\data\test\images\val\IMG_20260706_103728.jpg","E:\mastercode\ultralytics-main-new\1_results\001_yolo11n_seg_AdamW\label_audit_all\count_mismatch\IMG_20260706_103728_val_gt08_pred11_diff03_extra+03.jpg"
