epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,164.997,1.36182,0.10678,0.38466,1.49016,1.20183,0.15134,0.38054,0.23625,0.15073,0.15334,0.37546,0.21351,0.20995,1.55932,0.9393,0.35451,1.91624,1.4012,0.000978873,0.000978873,0.000978873
58,167.896,1.34661,0.09902,0.39354,1.50125,1.21548,0.11589,0.36824,0.23835,0.1522,0.10905,0.36646,0.21267,0.20961,1.64391,0.93907,0.35033,1.88625,1.41463,0.000978118,0.000978118,0.000978118
59,170.78,1.28517,0.09567,0.37243,1.4553,1.2127,0.52226,0.34324,0.24128,0.14852,0.52095,0.31147,0.20475,0.20257,1.67711,0.92383,0.36455,1.98295,1.42132,0.000977349,0.000977349,0.000977349
60,173.654,1.30413,0.18632,0.41527,1.49816,1.20461,0.5424,0.34824,0.23198,0.14265,0.52707,0.33647,0.20042,0.1976,1.55687,0.92684,0.35976,1.79488,1.3772,0.000976567,0.000976567,0.000976567
61,176.471,1.35924,0.10147,0.34768,1.54318,1.20617,0.53874,0.37412,0.23077,0.14624,0.53003,0.38383,0.20827,0.20629,1.62613,0.93819,0.36238,1.84446,1.42641,0.000975773,0.000975773,0.000975773
62,179.347,1.32226,0.0885,0.41092,1.66123,1.27799,0.53864,0.31735,0.23549,0.14816,0.52082,0.38235,0.21357,0.21109,1.61824,0.93872,0.36699,1.99205,1.47876,0.000974966,0.000974966,0.000974966
63,182.19,1.3549,0.10241,0.47422,1.5689,1.22705,0.53073,0.41324,0.25638,0.16531,0.52453,0.40147,0.23469,0.2312,1.67533,0.94029,0.37948,2.01901,1.5166,0.000974145,0.000974145,0.000974145
64,185.104,1.242,0.14588,0.32632,1.42685,1.15617,0.49144,0.51412,0.28022,0.18964,0.26245,0.51999,0.25925,0.25724,1.59648,0.92936,0.3722,1.88933,1.43039,0.000973312,0.000973312,0.000973312
65,187.997,1.26208,0.21321,0.40935,1.40794,1.17054,0.38796,0.50929,0.29262,0.18944,0.37738,0.44198,0.25971,0.25516,1.52731,0.92981,0.36189,1.88737,1.40271,0.000972466,0.000972466,0.000972466
66,190.827,1.318,0.18568,0.36993,1.41568,1.2161,0.463,0.31912,0.28318,0.18387,0.48445,0.30735,0.2584,0.25705,1.52855,0.92575,0.35604,1.96397,1.3927,0.000971608,0.000971608,0.000971608
