epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,4105.56,1.0138,1.57637,0.68633,1.33322,0,0.846,0.69643,0.7908,0.50929,0.83348,0.6831,0.76985,0.46914,1.37982,2.2409,1.09113,1.74888,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
50,4189.62,1.00668,1.56967,0.68742,1.31608,0,0.8214,0.67701,0.75434,0.46126,0.82536,0.6632,0.74441,0.4312,1.52328,2.31337,1.0893,1.88007,0,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383,0.025149,0.008383
51,4270.19,1.00343,1.57149,0.68999,1.3158,0,0.8322,0.66003,0.74776,0.4188,0.82709,0.65597,0.73783,0.39436,1.68966,2.53706,1.1488,2.05713,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4350.99,1.00614,1.57537,0.68671,1.33309,0,0.84363,0.65071,0.739,0.44101,0.83533,0.64164,0.72559,0.40532,1.54257,2.48624,1.21046,1.9269,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4431.9,0.98735,1.54081,0.66149,1.30887,0,0.84655,0.69614,0.78485,0.49799,0.84208,0.69179,0.77728,0.4627,1.4177,2.26017,1.08244,1.7925,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4514.08,0.9907,1.55485,0.66678,1.30591,0,0.83614,0.70513,0.78396,0.4751,0.8327,0.69844,0.77433,0.44194,1.51688,2.36339,1.01104,1.90051,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4597.38,0.98197,1.5596,0.66588,1.30725,0,0.87454,0.73384,0.82968,0.54346,0.86357,0.72137,0.81145,0.49834,1.32251,2.133,0.9357,1.68991,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4680.2,0.98212,1.52771,0.65651,1.30349,0,0.80611,0.61757,0.68845,0.45097,0.80217,0.60077,0.6724,0.41738,1.45075,2.46251,1.29637,1.81561,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,4764.62,0.97541,1.52077,0.65804,1.29936,0,0.86334,0.70883,0.80654,0.51663,0.83662,0.71847,0.79759,0.48189,1.39295,2.25719,0.97541,1.77208,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,4846.68,0.9697,1.51494,0.65608,1.29435,0,0.85625,0.74485,0.8252,0.54687,0.8593,0.7278,0.81171,0.51231,1.30933,2.1657,0.89826,1.69089,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,4925.94,0.9664,1.51588,0.65228,1.29616,0,0.80319,0.65613,0.73643,0.41131,0.78343,0.65033,0.72134,0.37175,1.7134,2.70174,1.10989,2.15974,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5007.33,0.97639,1.50771,0.64924,1.29458,0,0.76159,0.58423,0.64884,0.38218,0.75004,0.57524,0.63518,0.35025,1.64955,2.70816,1.3808,2.07013,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,5090.54,0.95946,1.4959,0.6379,1.28042,0,0.80692,0.66454,0.74183,0.44806,0.80328,0.65874,0.73412,0.41696,1.56302,2.47444,1.08485,1.95456,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,5172.29,0.95606,1.49663,0.63973,1.28104,0,0.82597,0.62613,0.71617,0.46975,0.81771,0.61931,0.70405,0.43612,1.43218,2.37132,1.19187,1.79985,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,5254.92,0.96881,1.51371,0.6512,1.28929,0,0.77235,0.59467,0.6475,0.35587,0.77069,0.58162,0.63615,0.32436,1.87774,3.0396,1.40595,2.3625,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,5338.02,0.95739,1.48791,0.64048,1.27717,0,0.88472,0.71702,0.82656,0.51117,0.87653,0.71014,0.81482,0.47282,1.46628,2.29269,0.95015,1.8444,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,5418,0.94612,1.47051,0.62992,1.27304,0,0.84433,0.66715,0.74978,0.49024,0.83713,0.64973,0.72983,0.45683,1.42649,2.28431,1.1007,1.78703,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,5498.15,0.96209,1.50312,0.64123,1.28681,0,0.84816,0.70935,0.79322,0.48393,0.84663,0.69788,0.78452,0.45049,1.49608,2.36226,1.01854,1.88265,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
