epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,4019.31,0.94084,1.4619,0.61549,1.26989,0,0.86636,0.77815,0.86741,0.56521,0.86069,0.77382,0.85674,0.51993,1.31852,2.11727,0.82451,1.71289,0,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
52,4096.38,0.94523,1.45986,0.62123,1.28953,0,0.8406,0.73934,0.80971,0.49323,0.82708,0.72746,0.7924,0.44756,1.49018,2.47312,0.89505,1.91284,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,4173.55,0.92459,1.43677,0.59827,1.26168,0,0.88445,0.75935,0.85061,0.56917,0.87411,0.74488,0.831,0.52332,1.29473,2.14524,0.88049,1.67644,0,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,4251.2,0.93123,1.45263,0.60045,1.26398,0,0.89683,0.79269,0.8788,0.58003,0.89438,0.78071,0.86503,0.53834,1.30018,2.09163,0.7552,1.69109,0,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,4329.17,0.92727,1.45592,0.60645,1.26492,0,0.87243,0.7463,0.83703,0.52639,0.85853,0.73442,0.81784,0.48317,1.3979,2.25689,0.88146,1.78734,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,4406.88,0.924,1.42581,0.59454,1.25976,0,0.88777,0.74137,0.84293,0.53192,0.87753,0.7313,0.82773,0.48703,1.39023,2.28753,0.87674,1.79128,0,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,4484.13,0.91717,1.42479,0.60125,1.25959,0,0.86779,0.72427,0.81639,0.53546,0.85416,0.7132,0.79613,0.49191,1.33848,2.20473,0.92317,1.69883,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,4561.83,0.90806,1.41426,0.59308,1.25148,0,0.86493,0.77793,0.85637,0.55589,0.84634,0.77501,0.84285,0.50924,1.33208,2.13839,0.84019,1.72276,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,4639.08,0.90487,1.41279,0.59009,1.25135,0,0.8852,0.79589,0.88246,0.58129,0.874,0.78035,0.86281,0.53331,1.27613,2.10983,0.78265,1.67382,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,4716.45,0.92015,1.39996,0.58832,1.25106,0,0.85476,0.76785,0.84585,0.54213,0.84369,0.75745,0.83075,0.49874,1.36273,2.22064,0.89984,1.74541,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,4794.1,0.90507,1.39451,0.57976,1.2407,0,0.86552,0.76507,0.85013,0.55617,0.85999,0.75151,0.83255,0.50901,1.3117,2.13217,0.8512,1.70688,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,4872.72,0.90189,1.40027,0.58404,1.24207,0,0.86586,0.78226,0.86121,0.54368,0.85424,0.76808,0.84115,0.4944,1.38752,2.25574,0.81458,1.78939,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,4954.94,0.91826,1.41558,0.58667,1.2538,0,0.88471,0.79269,0.87804,0.58396,0.87543,0.78139,0.8596,0.53377,1.30414,2.09392,0.76917,1.6928,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,5032.98,0.89813,1.37689,0.57125,1.23612,0,0.8903,0.79704,0.88497,0.59062,0.87799,0.78602,0.86729,0.54134,1.26348,2.03062,0.75116,1.63731,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,5111.09,0.89212,1.37696,0.57088,1.23436,0,0.88347,0.78916,0.87338,0.56966,0.87272,0.77733,0.8573,0.52443,1.32386,2.1434,0.7898,1.72767,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,5192.03,0.89733,1.39715,0.5723,1.24268,0,0.88554,0.76714,0.86563,0.5759,0.87741,0.75326,0.84784,0.52643,1.30097,2.1127,0.87504,1.68388,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,5273.27,0.89911,1.39472,0.57744,1.24201,0,0.85993,0.74485,0.81623,0.46665,0.84253,0.73471,0.79879,0.42091,1.63351,2.68706,0.87532,2.1405,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,5354.98,0.88651,1.37276,0.56571,1.22629,0,0.88555,0.7874,0.87443,0.56271,0.86913,0.77733,0.85706,0.51497,1.36541,2.21876,0.79535,1.78538,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,5431.31,0.88436,1.37034,0.56317,1.22812,0,0.89027,0.75007,0.8571,0.56795,0.88026,0.73818,0.8425,0.51899,1.33543,2.16416,0.82405,1.73712,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,5507.39,0.8986,1.40076,0.56765,1.24571,0,0.86679,0.75355,0.83953,0.5113,0.86317,0.74075,0.82302,0.47326,1.47398,2.36601,0.89866,1.91065,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,5583.87,0.88978,1.3645,0.5668,1.23703,0,0.86499,0.75607,0.84129,0.54561,0.85641,0.74775,0.82639,0.49894,1.34779,2.233,0.85363,1.75411,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,5659.23,0.88411,1.36585,0.56105,1.22396,0,0.86088,0.78043,0.86043,0.54058,0.85346,0.76718,0.84094,0.48831,1.39636,2.25515,0.80168,1.80304,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,5735.28,0.87963,1.34087,0.55944,1.2293,0,0.88279,0.78718,0.87367,0.57145,0.8727,0.78052,0.86203,0.52567,1.33482,2.14201,0.78463,1.73104,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,5810.66,0.87219,1.34884,0.55529,1.21933,0,0.87436,0.78747,0.86793,0.5528,0.86736,0.77927,0.8543,0.50905,1.36981,2.29248,0.79732,1.7991,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,5886.34,0.87437,1.35434,0.56098,1.22709,0,0.89581,0.80777,0.89106,0.61289,0.8801,0.80024,0.87509,0.55953,1.22127,2.01886,0.72425,1.62033,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,5962.27,0.88013,1.35773,0.55818,1.2277,0,0.87355,0.77316,0.86366,0.54745,0.8543,0.77269,0.85122,0.50229,1.40476,2.2681,0.80507,1.83771,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,6038.72,0.87912,1.3514,0.55362,1.22814,0,0.85696,0.7982,0.87018,0.5729,0.84824,0.79008,0.85767,0.52591,1.31314,2.18093,0.80296,1.72171,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,6114.45,0.88145,1.33779,0.5543,1.23268,0,0.88395,0.79095,0.87699,0.58138,0.87553,0.78342,0.86427,0.53035,1.29403,2.11625,0.80016,1.70205,0,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,6190.56,0.85927,1.32348,0.54711,1.20945,0,0.86624,0.77936,0.85474,0.53749,0.85375,0.76834,0.83581,0.48825,1.38985,2.31244,0.85717,1.81465,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6266.93,0.86787,1.33506,0.55571,1.22097,0,0.86708,0.79211,0.86608,0.54993,0.85534,0.78139,0.84735,0.50727,1.38188,2.26286,0.78286,1.80584,0,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,6343.29,0.85615,1.30555,0.54574,1.21652,0,0.88527,0.79643,0.88097,0.59135,0.87245,0.78573,0.86318,0.54233,1.27577,2.06862,0.78783,1.67111,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,6423.02,0.85921,1.32236,0.53776,1.21128,0,0.87442,0.79791,0.87641,0.59207,0.86329,0.78631,0.86207,0.54651,1.27724,2.10004,0.76901,1.67718,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,6505.04,0.85769,1.31069,0.53971,1.21374,0,0.88368,0.79617,0.87513,0.5708,0.87319,0.78429,0.86137,0.52631,1.33009,2.22785,0.78267,1.74492,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,6586.46,0.852,1.28822,0.53799,1.20736,0,0.87605,0.80736,0.88055,0.58364,0.86227,0.79684,0.8634,0.53236,1.28339,2.12948,0.76106,1.70061,0,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,6667.85,0.85866,1.33429,0.54215,1.21051,0,0.87155,0.79085,0.86582,0.55588,0.85611,0.77936,0.84687,0.50812,1.36399,2.23419,0.7906,1.80273,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,6749.57,0.84816,1.31195,0.52948,1.20562,0,0.86932,0.78117,0.86481,0.57426,0.851,0.77588,0.8471,0.52884,1.31928,2.149,0.8226,1.72367,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,6830.94,0.84651,1.28869,0.53419,1.19604,0,0.87982,0.78689,0.87128,0.54811,0.87193,0.77646,0.85645,0.50469,1.4178,2.32085,0.7795,1.88313,0,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,6912.2,0.84679,1.30183,0.53089,1.19985,0,0.88175,0.79342,0.8734,0.56437,0.87399,0.78632,0.86244,0.52187,1.36033,2.20973,0.77953,1.79549,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,6993.88,0.84767,1.31007,0.53849,1.19556,0,0.8749,0.7949,0.87822,0.57772,0.86657,0.78371,0.86288,0.53029,1.32741,2.21522,0.80366,1.76843,0,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,7075.51,0.84181,1.2989,0.53138,1.19889,0,0.89736,0.79646,0.89118,0.58529,0.89015,0.7866,0.8769,0.53972,1.30187,2.1265,0.73427,1.73892,0,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,7156.9,0.84996,1.31061,0.53513,1.20166,0,0.90036,0.79211,0.88634,0.60487,0.89503,0.78689,0.87582,0.55483,1.23287,2.04195,0.75483,1.65526,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
