epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1999.44,0.74642,4.17814,0.21325,0.74313,1.3232,0.90115,0.89537,0.9372,0.77203,0.79726,0.77679,0.77357,0.22215,0.68374,4.24308,0.05149,0.54813,1.31777,0.0007162,0.0007162,0.0007162
88,2021.37,0.74932,4.19788,0.21362,0.73726,1.32788,0.90384,0.92313,0.92848,0.77375,0.68284,0.69643,0.59289,0.1707,0.67569,4.27657,0.05275,0.55226,1.31029,0.0007129,0.0007129,0.0007129
89,2043.19,0.75194,4.21006,0.21464,0.75502,1.31832,0.90851,0.91964,0.93562,0.7667,0.77622,0.75893,0.72744,0.21223,0.71087,4.31464,0.0523,0.59901,1.34105,0.0007096,0.0007096,0.0007096
90,2065.84,0.75421,4.21291,0.21898,0.75414,1.32437,0.92724,0.91025,0.94191,0.77959,0.74359,0.73214,0.64268,0.19552,0.68627,4.2018,0.05334,0.56839,1.30665,0.0007063,0.0007063,0.0007063
91,2089.36,0.75762,4.22423,0.21492,0.73983,1.33366,0.93828,0.88393,0.93432,0.78059,0.77374,0.72321,0.68424,0.19132,0.70027,4.26182,0.05335,0.53608,1.31571,0.000703,0.000703,0.000703
92,2111.88,0.75495,4.15277,0.2139,0.72647,1.31221,0.93082,0.89286,0.92436,0.75148,0.77127,0.74107,0.69127,0.19025,0.70482,4.34184,0.05213,0.56164,1.33362,0.0006997,0.0006997,0.0006997
93,2134.19,0.75449,4.18532,0.2189,0.74495,1.31351,0.88071,0.92857,0.94583,0.78476,0.67815,0.65179,0.54785,0.15848,0.6851,4.33489,0.053,0.54041,1.2947,0.0006964,0.0006964,0.0006964
94,2157.91,0.74436,4.11821,0.22068,0.7149,1.31492,0.92307,0.88393,0.92604,0.75943,0.75378,0.73802,0.68883,0.19764,0.70597,4.29274,0.05275,0.56951,1.32912,0.0006931,0.0006931,0.0006931
95,2181.09,0.74724,4.15979,0.21026,0.71594,1.32469,0.92642,0.89934,0.9395,0.77821,0.74821,0.72321,0.64015,0.19644,0.69014,4.25334,0.05213,0.54929,1.32862,0.0006898,0.0006898,0.0006898
96,2204.37,0.73194,4.12843,0.21639,0.72649,1.30233,0.85101,0.86697,0.90785,0.74794,0.74727,0.6875,0.70872,0.20538,0.69198,4.31571,0.05234,0.65853,1.34621,0.0006865,0.0006865,0.0006865
97,2228.51,0.72765,4.15211,0.21373,0.73793,1.29881,0.92238,0.89286,0.93882,0.76917,0.7445,0.70246,0.65611,0.18138,0.69632,4.34327,0.05376,0.55535,1.32807,0.0006832,0.0006832,0.0006832
98,2251.13,0.72479,4.15384,0.21359,0.71334,1.29727,0.90744,0.85714,0.93304,0.77414,0.71344,0.71136,0.63498,0.18687,0.6731,4.35331,0.05145,0.58429,1.29175,0.0006799,0.0006799,0.0006799
99,2275.19,0.70228,4.11574,0.21408,0.69763,1.2805,0.93015,0.89286,0.93511,0.77573,0.76047,0.72321,0.62452,0.19265,0.67177,4.27971,0.05203,0.56744,1.31296,0.0006766,0.0006766,0.0006766
100,2297.6,0.7344,4.07821,0.22312,0.71142,1.29568,0.92497,0.8806,0.94161,0.78207,0.75566,0.71429,0.65083,0.19724,0.66028,4.28835,0.05166,0.53372,1.30576,0.0006733,0.0006733,0.0006733
101,2319.39,0.70743,4.11066,0.21264,0.70156,1.27637,0.92001,0.88393,0.93191,0.77555,0.76041,0.73214,0.65953,0.19074,0.67304,4.29926,0.05186,0.55061,1.30471,0.00067,0.00067,0.00067
102,2340.89,0.71408,4.05993,0.21304,0.7052,1.28815,0.90941,0.90179,0.9114,0.76146,0.81188,0.75893,0.73808,0.20584,0.64759,4.26775,0.05165,0.55642,1.29426,0.0006667,0.0006667,0.0006667
103,2362.55,0.72431,4.13476,0.21229,0.70118,1.29327,0.93522,0.85714,0.9237,0.77567,0.739,0.67857,0.60057,0.17152,0.67825,4.27995,0.05211,0.55637,1.28716,0.0006634,0.0006634,0.0006634
104,2385.38,0.70735,4.11655,0.21247,0.67859,1.27966,0.89713,0.88393,0.93191,0.77652,0.69974,0.6875,0.60531,0.16563,0.65094,4.31331,0.05146,0.53707,1.27182,0.0006601,0.0006601,0.0006601
105,2408.76,0.70838,4.06519,0.22209,0.67144,1.27743,0.91876,0.9088,0.9365,0.77729,0.77015,0.73214,0.65808,0.18665,0.65809,4.32277,0.05208,0.55798,1.27801,0.0006568,0.0006568,0.0006568
106,2434.01,0.70225,4.04335,0.20943,0.67778,1.27516,0.9104,0.90727,0.9193,0.76394,0.74759,0.72321,0.65917,0.202,0.68856,4.25931,0.05281,0.54018,1.31124,0.0006535,0.0006535,0.0006535
107,2458.17,0.70101,4.09378,0.2184,0.68094,1.26239,0.92208,0.89286,0.92971,0.77604,0.75542,0.73214,0.6564,0.18461,0.64615,4.20882,0.05168,0.53869,1.28123,0.0006502,0.0006502,0.0006502
108,2482.6,0.7022,4.09298,0.21987,0.68599,1.26437,0.90116,0.91964,0.91737,0.75023,0.75767,0.72582,0.70354,0.23147,0.68576,4.30347,0.05192,0.54556,1.31255,0.0006469,0.0006469,0.0006469
109,2506.66,0.68762,4.11801,0.20709,0.66035,1.25417,0.92324,0.91071,0.92903,0.77894,0.7579,0.73214,0.66469,0.2024,0.66937,4.25613,0.05189,0.53163,1.29422,0.0006436,0.0006436,0.0006436
110,2531.55,0.69138,4.07546,0.2051,0.65885,1.25538,0.88747,0.9154,0.90298,0.75597,0.7794,0.75712,0.74,0.21919,0.68473,4.26741,0.05097,0.5581,1.31332,0.0006403,0.0006403,0.0006403
111,2555.64,0.687,4.0844,0.2058,0.66769,1.24864,0.91402,0.89286,0.9136,0.75377,0.78717,0.75,0.73055,0.20754,0.69845,4.28496,0.05232,0.5724,1.32989,0.000637,0.000637,0.000637
112,2578.89,0.6804,4.05485,0.21065,0.65657,1.24161,0.91044,0.90762,0.91924,0.76613,0.70046,0.69643,0.56681,0.16085,0.66879,4.27894,0.05254,0.56729,1.29266,0.0006337,0.0006337,0.0006337
113,2602.25,0.694,3.99195,0.21454,0.66609,1.24522,0.90985,0.9011,0.92645,0.75898,0.72543,0.72321,0.63366,0.18039,0.6615,4.2408,0.0521,0.55783,1.29687,0.0006304,0.0006304,0.0006304
114,2627.51,0.67525,3.98509,0.21759,0.65091,1.2345,0.89721,0.89286,0.9109,0.75645,0.74157,0.74301,0.69076,0.2176,0.67086,4.17804,0.0523,0.58105,1.31255,0.0006271,0.0006271,0.0006271
115,2653.54,0.67062,4.05198,0.20722,0.62105,1.23914,0.89951,0.90179,0.91997,0.78248,0.73646,0.70536,0.62734,0.18527,0.64653,4.22034,0.05363,0.52897,1.29044,0.0006238,0.0006238,0.0006238
