series,name,epochs_observed,mask_ap,mask_ap50,peak_epoch,path,yaml_candidates
F_series,F52_yolo11-seg-citrusfar-edge-v2_300ep,300,0.64324,0.82137,291.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F52_yolo11-seg-citrusfar-edge-v2_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F52_yolo11-seg-citrusfar-edge-v2.yaml
F_series,F53_yolo11-seg-citrusformer-plus_300ep,300,0.60394,0.79634,230.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F53_yolo11-seg-citrusformer-plus_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F53_yolo11-seg-citrusformer-plus.yaml
F_series,F54_yolo11-seg-farformer-fla_300ep,296,0.67267,0.82906,196.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F54_yolo11-seg-farformer-fla_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F54_yolo11-seg-farformer-fla.yaml
F_series,F55_yolo11-seg-mwca_300ep,300,0.65911,0.82667,272.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F55_yolo11-seg-mwca_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F55_yolo11-seg-mwca.yaml
F_series,F56_yolo11-seg-freqsuite_300ep,300,0.63955,0.81153,231.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F56_yolo11-seg-freqsuite_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F56_yolo11-seg-freqsuite.yaml
F_series,F57_yolo11-seg-hco_300ep,256,0.67373,0.83684,156.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F57_yolo11-seg-hco_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F57_yolo11-seg-hco.yaml
F_series,F58_yolo11-seg-hyperace_300ep,300,0.67082,0.82851,234.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F58_yolo11-seg-hyperace_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F58_yolo11-seg-hyperace.yaml
F_series,F59_yolo11-seg-c3k2ls_300ep,300,0.66573,0.82793,168.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F59_yolo11-seg-c3k2ls_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F59_yolo11-seg-c3k2ls.yaml
F_series,F60_yolo11-seg-tgp_300ep,300,0.61415,0.78039,272.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F60_yolo11-seg-tgp_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F60_yolo11-seg-tgp.yaml
F_series,F61_yolo11-seg-tgp-tdam_300ep,300,0.63339,0.80394,241.0,E:\mastercode\1_SEVER\results\F_series\old_data_300ep\F61_yolo11-seg-tgp-tdam_300ep\results.csv,E:\mastercode\1_SEVER\code\ultralytics-main-new\0_orange_yaml\F_series\F61_yolo11-seg-tgp-tdam.yaml
