series,model,yaml,head,nc,series_status,parse_error
T_series,08_t08_d06_shape_semantic_full,T_series/08_t08_d06_shape_semantic_full.yaml,SegmentCitrusAux,80,unified same-dataset finalist rerun; pending training,
T_series,09_t09_d07_deploy_lite,T_series/09_t09_d07_deploy_lite.yaml,SegmentCitrusLiteBQ,80,unified same-dataset finalist rerun; pending training,
G_0830_series,00_g00_official_control,G_0830_series/00_g00_official_control.yaml,Segment,80,T-corrected complete control; mandatory rerun,
G_0830_series,01_g01_t04_anchor,G_0830_series/01_g01_t04_anchor.yaml,SegmentCitrusTopo,80,T04 structure anchor under fixed G_0830 losses,
G_0830_series,02_g02_bilateral_backbone,G_0830_series/02_g02_bilateral_backbone.yaml,SegmentCitrusTopo,80,persistent narrow P2 bilateral backbone ablation,
G_0830_series,03_g03_frequency_neck,G_0830_series/03_g03_frequency_neck.yaml,SegmentCitrusTopo,80,bilateral backbone plus frequency-aligned PAN,
G_0830_series,04_g04_deep_repmixer,G_0830_series/04_g04_deep_repmixer.yaml,SegmentCitrusTopo,80,P4/P5 non-CSP RepMixer efficiency ablation,
Light_series,Light00_backbone_only,Light_series/Light00_backbone_only.yaml,Segment,80,non-CSP partial-convolution backbone ablation; accuracy pending,
Light_series,Light01_neck_only,Light_series/Light01_neck_only.yaml,Segment,80,adaptive progressive gather-distribute neck ablation; accuracy pending,
Light_series,Light02_joint_core,Light_series/Light02_joint_core.yaml,Segment,80,joint lightweight backbone and neck core; accuracy pending,
Light_series,Light03_deploy_lite,Light_series/Light03_deploy_lite.yaml,SegmentCitrusLite,80,measured lightweight deployment candidate; accuracy pending,
Light_series,Light04_quality_rank,Light_series/Light04_quality_rank.yaml,SegmentCitrusQualityLite,80,Mask Scoring-style ranking candidate; accuracy pending,
Light_series,Light05_repmixer_backbone_only,Light_series/Light05_repmixer_backbone_only.yaml,Segment,80,deep RepMixer backbone isolation; accuracy pending,
