epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
78,202.226,1.02677,2.16139,0.66165,1.18601,1.00008,0.41535,0.32381,0.2854,0.17563,0.46855,0.09365,0.03978,0.01159,1.27081,2.0178,0.6636,2.29243,1.09344,0.00254283,0.000847611,0.00254283,0.000847611,0.00254283,0.000847611,0.00254283,0.000847611
79,204.685,0.97918,2.16474,0.66113,1.18375,0.96427,0.2055,0.4279,0.30175,0.18754,0.27777,0.06508,0.03167,0.01427,1.29605,2.0108,0.66009,2.13539,1.10366,0.00253155,0.000843851,0.00253155,0.000843851,0.00253155,0.000843851,0.00253155,0.000843851
80,207.316,0.96649,2.11713,0.65867,1.21182,0.92623,0.22298,0.4181,0.31085,0.1918,0.38459,0.09365,0.07342,0.01907,1.30967,2.01153,0.66117,2.11768,1.1074,0.00252016,0.000840054,0.00252016,0.000840054,0.00252016,0.000840054,0.00252016,0.000840054
81,209.823,0.90743,2.31144,0.65079,1.00422,0.93072,0.44645,0.3781,0.32168,0.19376,0.53746,0.07849,0.06999,0.01571,1.29859,2.02225,0.65851,2.152,1.10674,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622,0.00250866,0.00083622
82,212.442,0.91284,2.11557,0.64522,1.06826,0.94462,0.36103,0.4067,0.33832,0.20687,0.59401,0.07937,0.08904,0.02157,1.2867,2.00942,0.65925,2.1226,1.0927,0.00249705,0.000832349,0.00249705,0.000832349,0.00249705,0.000832349,0.00249705,0.000832349
83,214.913,0.98899,2.16733,0.65785,1.19353,0.91955,0.24279,0.4036,0.30353,0.18542,0.55792,0.06508,0.07433,0.01741,1.30671,2.00754,0.65842,2.19019,1.10411,0.00248533,0.000828443,0.00248533,0.000828443,0.00248533,0.000828443,0.00248533,0.000828443
84,217.52,0.90532,2.2644,0.64033,1.03508,0.92433,0.25099,0.41016,0.31995,0.19112,0.06447,0.10508,0.06447,0.02244,1.30522,1.99813,0.65661,2.11013,1.0971,0.0024735,0.000824502,0.0024735,0.000824502,0.0024735,0.000824502,0.0024735,0.000824502
85,219.877,1.0242,2.09552,0.65865,1.10802,0.95496,0.22969,0.38159,0.30071,0.17507,0.07626,0.10508,0.05388,0.01825,1.31653,2.00166,0.65668,2.19731,1.10611,0.00246157,0.000820525,0.00246157,0.000820525,0.00246157,0.000820525,0.00246157,0.000820525
86,222.423,0.89722,2.12951,0.63509,1.02497,0.91717,0.28114,0.38159,0.30294,0.19047,0.06495,0.09079,0.0355,0.01205,1.25725,1.99305,0.65719,2.14652,1.0898,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514,0.00244954,0.000816514
87,224.798,0.89983,2.29057,0.64149,1.00958,0.9061,0.21503,0.40562,0.29561,0.17903,0.07564,0.11937,0.03347,0.01029,1.24744,1.99115,0.6555,2.17573,1.09036,0.0024374,0.000812468,0.0024374,0.000812468,0.0024374,0.000812468,0.0024374,0.000812468
